"","x"
"738",1564.71823686057
"739",67379.1
"740",41897.04
"741",9601.164
"742",-27536.832
"743",100899.096
"744",22442.964
"745",23104.644
"746",80985.294
"747",50348.754
"748",11473.398
"749",8683.72107785653
"750",16570.866
"751",15227.304
"752",40661.718
"753",47089.992
"754",31328.136
"755",22481.454
"756",5677.668
"757",58263.066
"758",16510.566
"759",18134.622
"760",23732.97
"761",32025.798
"762",11754.8364507517
"763",93434.868
"764",57059.5656988322
"765",-5259.57
"766",18536.166
"767",32244.636
"768",35435.334
"769",34037.5467406742
"770",48063.216
"771",45394.062
"772",-20907.06
"773",8638.602
